50142057,5.51836
65232531,7.18304
67683741,6.94395
59798449,5.48383
62297119,5.65503
56143788,5.11982
57840857,5.25021
52131993,4.68403
62184805,5.55882
50950963,4.58097
53266037,4.80653
67284888,6.12106
52338098,4.71446
56375176,5.09874
68899011,6.25633
66435364,5.99837
56403531,5.07058
54623711,5.04295
63866031,5.84769
57425462,5.35338
59589319,5.57418
66478775,6.24922
67898093,6.49323
63173721,5.90763
57397522,5.20602
64060870,5.72979
53867144,4.80466
60977394,5.49512
57138144,5.2138
60972209,5.50056
63100083,5.68195
50170608,4.4892
59416940,5.34337
55468675,4.9905
62560148,5.67594
56553850,5.11434
57276721,5.21663
63527862,5.72201
53122038,4.76495
54414725,4.94695
65688141,5.99787
50177311,4.43329
61034257,5.57568
68144740,6.19936
59123453,5.43368
67096104,6.13678
59272729,5.41552
65697504,5.98225
67948849,6.2009
50603265,4.55475
